ccaa,ano,esp_esp,esp_quir,g_seguros_nom,g_dental,g_paramed,g_medicos,pib_pc,ipc_seguros,g_seguros_real,g_bolsillo_total,ipc_sanidad,g_bolsillo_real,g_dental_real,g_paramed_real,g_medicos_real
galicia,2019,42.0,55.0,113.83,412.14,96.18,76.39,23901.0,81.24475,140.10751463940747,584.71,90.2675,647.7525133630598,456.5762871465367,106.5499764588584,84.62624975766472
galicia,2020,49.0,73.0,113.86,401.51,84.73,35.46,21864.0,82.79166666666667,137.52591847005536,521.7,90.92866666666669,573.7464532637306,441.56591613939133,93.18293460808106,38.99760251625816
galicia,2021,56.0,77.0,122.59,427.68,94.52,93.52,23927.0,84.98808333333334,144.24375182010812,615.72,92.49591666666667,665.6726287917214,462.3771680011099,102.18829479859922,101.10716599201224
galicia,2022,66.0,75.0,141.68,494.41,141.05,60.83,26570.0,87.28383333333333,162.32101019089066,696.2900000000001,94.02525,740.5351222145115,525.8268390671655,150.01289547222686,64.69538767511918
galicia,2023,73.0,67.0,185.01,579.57,148.77,99.65,28661.0,90.52075,204.384077683846,827.99,95.4725,867.2549687082667,607.0543873890388,155.82497577836548,104.37560554086254
galicia,2024,61.0,67.0,170.2,596.54,247.08,128.6,,94.94716666666666,179.2575871142372,972.22,97.79275,994.1636777777496,610.004320361172,252.6567664780876,131.50259093848982
islas baleares,2016,49.0,78.0,406.82,410.75,37.82,,26922.0,74.6185,545.1999169106857,448.57,86.0825,521.0931373972643,477.15853977289225,43.934597624371975,
islas baleares,2017,35.0,76.0,506.08,361.78,34.47,,28001.0,77.25216666666667,655.1013671676953,396.25,86.31475,459.07565045371734,419.1404134287592,39.93523702495807,
islas baleares,2018,34.0,81.0,500.92,369.69,26.24,,28906.0,79.122,633.0982533303,395.93,87.28758333333333,453.5925785549873,423.53102913644653,30.061549418540817,
islas baleares,2019,39.0,79.0,436.61,439.48,45.61,,29458.0,81.26875,537.2421748827194,485.09,87.45100000000001,554.6992029822414,502.544281940744,52.15492104149752,
islas baleares,2020,47.0,135.0,434.53,377.32,,,22611.0,82.81566666666667,524.6954078737115,377.32,86.68833333333333,435.2604156653144,435.2604156653144,,
islas baleares,2021,51.0,134.0,338.33,574.76,51.54,,25807.0,85.01241666666667,397.9771582386495,626.3,88.097,710.9209167168008,652.4172219258319,58.50369479096905,
islas baleares,2022,64.0,124.0,470.48,536.26,73.61,,31030.0,87.30983333333334,538.8625565276152,609.87,89.88466666666666,678.5028221350324,596.6089878140135,81.89383432101879,
islas baleares,2023,91.0,125.0,705.66,485.87,105.91,,33995.0,90.5425,779.3688047049727,591.78,94.367,627.104814182924,514.872783918107,112.23203026481714,
islas baleares,2024,84.0,99.0,503.11,618.08,194.36,,,94.95883333333332,529.8190619443865,812.44,97.2695,835.2464030348673,635.4304278319515,199.81597520291564,
la rioja,2016,32.0,49.0,93.28,397.4,43.78,,25713.0,75.08258333333333,124.23653510412424,441.18,88.58091666666667,498.0530983441693,448.6293605375875,49.42373780658174,
la rioja,2017,51.0,55.0,107.69,392.46,59.68,,26585.0,77.97416666666668,138.1098440722889,452.14,88.91666666666667,508.4985941893158,441.3795688847235,67.1190253045923,
la rioja,2018,44.0,43.0,103.04,511.59,77.62,,27470.0,79.84233333333333,129.05434460415736,589.21,88.69108333333334,664.3396132456006,576.8223600080053,87.51725323759528,
la rioja,2019,47.0,53.0,122.15,595.4,89.91,,28040.0,81.98608333333334,148.98870031804177,685.31,89.51416666666667,765.5883146987907,665.1461128126832,100.4422018861074,
la rioja,2020,40.0,75.0,167.15,510.04,91.8,,25654.0,83.53166666666668,200.1037530676988,601.84,89.81358333333333,670.099084863741,567.8873741258515,102.2117107378895,
la rioja,2021,59.0,95.0,152.07,696.16,84.16,,27365.0,85.74041666666666,177.3609295499497,780.3199999999999,91.31633333333332,854.5240172440856,762.3608773895871,92.16313985449848,
la rioja,2022,66.0,111.0,135.42,730.72,72.93,,30433.0,88.09708333333333,153.71678025662976,803.6500000000001,93.04716666666668,863.7017426645627,785.3221394883957,78.37960317616694,
la rioja,2023,54.0,106.0,179.2,705.64,82.13,,32412.0,91.19075,196.51115930069665,787.77,94.38691666666666,834.6177921904784,747.6036138483175,87.01417834216076,
la rioja,2024,79.0,64.0,199.12,597.81,203.31,,,95.31275,208.9122389187176,801.1199999999999,96.99416666666669,825.946577543323,616.3360339539319,209.61054358939109,
madrid,2016,42.0,55.0,369.2,402.85,103.69,,33350.0,75.05841666666667,491.88354403958687,506.54,94.70591666666668,534.8557068328184,425.3694110980395,109.48629573477898,
madrid,2017,37.0,51.0,361.29,433.56,104.61,28.59,34592.0,77.68716666666667,465.05750628053113,566.76,95.49516666666666,593.496005906058,454.01250674117887,109.54481116845356,29.93868799642565
madrid,2018,39.0,50.0,361.16,358.43,96.59,,35601.0,79.556,453.96953089647553,455.02,95.65575,475.6849431424666,374.7082637478667,100.97667939459993,
madrid,2019,40.0,52.0,356.91,437.56,113.37,,36613.0,81.701,436.848998176277,550.9300000000001,96.24475,572.4260284327198,454.632590349084,117.79343808363572,
madrid,2020,41.0,80.0,387.06,366.36,78.4,116.29,32853.0,83.24766666666666,464.9499685676876,561.05,95.98866666666667,584.4960863435266,381.6700582707681,81.67630900870242,121.14971906405616
madrid,2021,56.0,73.0,452.5,615.22,112.56,,35703.0,85.45183333333334,529.5380828575942,727.78,95.96225,758.4023926075097,641.1062683503148,117.29612425719488,
madrid,2022,75.0,63.0,470.44,489.46,107.96,,39246.0,87.78399999999999,535.906315501686,597.42,96.50125,619.0800637297443,507.2058652089998,111.87419852074454,
